furniture_name,furniture_size
table,51x51
table,140x80
table,130x70
table,120x80
table,70x70
table,74x74
bed,90x200
bed,180x200
bed,140x200
bed,140x200 
bed,90x200
bed,140x200
bed,90x200
bed,140x200
bed,160x200
bed,140x200
bed,180x200
bed,70x160
bed,140x200
bed,140x200
bed,90x200
bed,90x200
bed,80x200
bed,80x200
bed,140x200
bed,80x200
bed,90x200
bed,90x200
bed,80x200
bed,60x120
bed,90x200
bed,140x200
bed,140x200
bed,80x200
bed,140x200
bed,90x200
bed,90x200
bed,90x200
bed,90x200
bed,160x200
wall_shelf,190x26
shelf,83x30
shelf,56x16
shelf,56x16
wall_shelf,190x26
wall_shelf,30x26
shelf,77x28
shelf,83x30
shelf,56x16
shelf,77x28
shelf,61x25
shelf,56x36
shelf,40x38
shelf,61x25
shelf,56x36
shelf,40x38
shelf,81x15
shelf,83x50
shelf,42x30
shelf,84x39
shelf,84x54
shelf,56x16
bookcase,65x199
bookcase,28x237
bookcase,60x180
bookcase,28x106
bookcase,30x202
bookcase,90x197
bookcase,67x190
bookcase,60x190
bookcase,28x106
bookcase,28x202
bookcase,28x237
bookcase,30x202
bookcase,28x237
bookcase,30x237
tv_bench,120x42x74
tv_bench,180x42x38
tv_bench,120x42x48
tv_bench,120x40x48
tv_bench,120x42x74
tv_bench,180x42x74
tv_bench,180x41x49
tv_bench,180x40x38
tv_bench,120x40x64
tv_bench,180x42x39
tv_bench,180x40x64
tv_bench,120x42x48
tv_bench,240x42x230
tv_bench,180x41x49
tv_bench,180x42x39
dining_table,235x100
dining_table,118x74
dining_table,235x100
dining_table,140x85
dining_table,200x90
dining_table,190x80
dining_table,235x100
dining_table,220x100
dining_table,140x78
dining_table,220x100
dining_table,140x78
dining_table,118x74
dining_table,74x74
dining_table,220x100
dining_table,140x85
dining_table,140x85
dining_table,220x100
dining_table,74x74
dining_table,140x85
dining_table,180x90
dining_table,125x74
dining_table,140x85
dining_table,180/240
dining_table,125x74
dining_table,240x105
dining_table,140x78
dining_table,180x90
dining_table,235x100
dining_table,235x100
dining_table,220x100
dining_table,235x100
dining_table,140x85
dining_table,140x85
drawer,160x78
drawer,62x70
drawer,161x81
drawer,90x83
drawer,160x96
drawer,40x55
drawer,35x49
drawer,80x123
drawer,78x95
drawer,70x68
drawer,36x116
drawer,84x70
drawer,78x124
drawer,70x72
drawer,55x62
drawer,108x96
drawer,80x100
drawer,70x112
drawer,54x66
drawer,40x123
drawer,45x109
drawer,108x131
drawer,46x70
drawer,127x81
drawer,90x90
drawer,160x54
drawer,120x99
drawer,160x99
drawer,120x99
drawer,80x99
drawer,120x99
sofa,223x144x88
sofa,179x94x90
sofa,161x82x87
sofa,341x94x90
sofa,160x80x89
sofa,326x94x90
sofa,223x82x84
sofa,164x94x90
sofa,118x67x80
sofa,223x82x87
sofa,164x94x90
sofa,179x94x90
sofa,260x94x90
sofa,245x94x90
sofa,341x94x90
sofa,326x94x90
wardrobe,80x50x187
wardrobe,175x58x201
wardrobe,200x60x201
wardrobe,60x50x128
wardrobe,200x66x236
wardrobe,300x58x201
wardrobe,120x60x191
wardrobe,150x44x236
wardrobe,220x57x231
wardrobe,276x211x236
wardrobe,150x66x236
wardrobe,75x60x201
wardrobe,80x42x191
wardrobe,200x44x236
wardrobe,240x57x251
wardrobe,100x60x236
wardrobe,79x61x202
wardrobe,200x60x236
wardrobe,80x50x171
wardrobe,122x59x216
wardrobe,150x44x236
wardrobe,150x60x236
wardrobe,200x66x236
wardrobe,140x57x261
wardrobe,100x60x201
wardrobe,300x60x201
wardrobe,240x42x40
wardrobe,88x58x208
wardrobe,200x60x236
wardrobe,200x60x236
wardrobe,84x55x216
wardrobe,200x44x236
wardrobe,250x66x236
wardrobe,200x66x236
wardrobe,200x60x236
wardrobe,125x55x216
wardrobe,150x66x236
wardrobe,200x66x236
wardrobe,150x66x236
wardrobe,160x40x63
wardrobe,150x44x236
wardrobe,150x66x236
wardrobe,150x44x236
wardrobe,150x66x236
wardrobe,150x66x236
wardrobe,200x60x236
wardrobe,44x55x216
wardrobe,165x55x126
wardrobe,150x60x236
wardrobe,150x66x236
wardrobe,150x66x236
wardrobe,150x66x236
wardrobe,150x66x236
wardrobe,150x66x236
wardrobe,100x60x236
wardrobe,150x66x236
wardrobe,200x66x236
wardrobe,200x44x236
wardrobe,150x58x236
wardrobe,150x66x236
wardrobe,178x51x222
wardrobe,165x55x216
wardrobe,258x51x222
wardrobe,262x51x222
wardrobe,205x55x216
wardrobe,92x51x222
wardrobe,135x51x222
wardrobe,175x51x222
wardrobe,175x51x222
wardrobe,175x51x222
wardrobe,84x55x216
wardrobe,150x60x236
wardrobe,150x66x236
wardrobe,150x60x236
wardrobe,300x60x236
wardrobe,150x66x236
wardrobe,200x60x236
wardrobe,258x51x222
